Term,Estimate,Std. Error,z value,Pr(>|z|),deviance,N,converged,species,COMMON.NAME,median.sev,species_name,X99_Body_mass_average_8,X163_Food_Fruit_10,X164_Food_Nectar_or_pollen_10,X165_Food_Seeds_10,X166_Food_Foliage_or_herbs_10,X167_Food_Corms_or_tubers,X168_Food_Terrestrial_invertebrates_10,X169_Food_Terrestrial_vertebrates_10,X170_Food_Carrion_10,X171_Food_Intertidal_invertebrates_10,X172_Food_Fish_or_invertebrates_Marine_10,X173_Food_fish_or_invertebrates_Inland_waters_10,X115_Feeding_habitat_Terrestrial_Arid_shrubland_9,X116_Feeding_habitat_Terrestrial_Chenopod_shrubland_9,X117_Feeding_habitat_Terrestrial_Heath_9,X118_Feeding_habitat_Terrestrial_Triodia_hummock_grassland_9,X119_Feeding_habitat_Terrestrial_Other_grassland_9,X120_Feeding_habitat_Terrestrial_Mallee_9,X121_Feeding_habitat_Terrestrial_Tropical_savanna_woodland_9,X122_Feeding_habitat_Terrestrial_Temperate_dry_sclerophyll_forest_and_woodland_9,X123_Feeding_habitat_Terrestrial_Temperate_wet_sclerophyll_forest_and_woodland_9,X124_Feeding_habitat_Terrestrial_Rainforest_9,X125_Feeding_habitat_Terrestrial_Mangrove_trees_9,X126_Feeding_habitat_Inland_waters_Rivers_and_streams_9,X127_Feeding_habitat_Inland_waters_Deep_open_water_9,X128_Feeding_habitat_Inland_waters_Shallow_open_water_9,X129_Feeding_habitat_Inland_waters_Reeds_and_tall_wet_grassland_9,X130_Feeding_habitat_Inland_waters_Low_marshland_and_wet_grassland_9,X131_Feeding_habitat_Coastal_Sandy_9,X132_Feeding_habitat_Coastal_Rocky_9,X133_Feeding_habitat_Coastal_Soft_mud_9,X134_Feeding_habitat_Coastal_Saltmarsh_9,X135_Feeding_habitat_Coastal_Mangrove_floor_9,X136_Feeding_habitat_Marine_Very_cold_pelagic_9,X137_Feeding_habitat_Marine_Cold_pelagic_9,X138_Feeding_habitat_Marine_Temperate_pelagic_9,X139_Feeding_habitat_Marine_Warm_pelagic_9,X140_Feeding_habitat_Marine_Cold_inshore_9,X141_Feeding_habitat_Marine_Temperate_inshore_9,X142_Feeding_habitat_Marine_Warm_inshore_9,X143_Feeding_habitat_Other_non.Australian_habitat_9,X144_Feeding_habitat_Agricultural_landscapes_9,X145_Feeding_habitat_Urban_landscapes_9,X193_National_movement_local_dispersal_13,X194_National_movement_Partial_migrant_13,X195_National_movement_Total_migrant_13,X196_National_movement_Nomadic_or_opportunistic_13,X197_National_movement_Irruptive_13,foodspec,habitatspec,movetotal,localonly,localdisperse,feeding_specialisation
before.afterBefore,-0.7113352752206866,0.3090316022130782,-2.301820493847807,0.02134529733045321,0.3867433645945084,8770,TRUE,Little_Raven,Little Raven,3.0195000171661377,Little_Raven,534,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,3,6,3,FALSE,TRUE,generalist
before.afterBefore,-0.42530957421791016,0.14887664068451723,-2.856791853056241,0.004279463724216465,0.3207269664647123,8770,TRUE,Little_Wattlebird,Little Wattlebird,0.4905499964952469,Little_Wattlebird,69.7,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,3,5,2,FALSE,TRUE,generalist
before.afterBefore,-0.6513570891480164,0.14246340282544825,-4.572101158822415,4.828577143079212e-6,0.08188380402032125,8770,TRUE,Magpie-lark,Magpie-lark,1.5499000549316406,Magpie-lark,88,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,3,9,3,FALSE,TRUE,generalist
before.afterBefore,-0.7316439390053818,0.14576180604787153,-5.019448913558969,5.181992375094379e-7,0.11867331911888138,8772,TRUE,Masked_Lapwing,Masked Lapwing,1.5499000549316406,Masked_Lapwing,316,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,10,1,TRUE,TRUE,generalist
before.afterBefore,0.21657193797256935,0.2578028558122201,0.8400680329558382,0.40087024237465924,0.12053060699053851,8770,TRUE,Mistletoebird,Mistletoebird,0.8012000024318695,Mistletoebird,8.8,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,11,2,FALSE,TRUE,generalist
before.afterBefore,0.49624436919852394,0.1451541548374319,3.4187403712577296,6.291172347160918e-4,0.29439723650786614,8770,TRUE,New_Holland_Honeyeater,New Holland Honeyeater,0.39294999837875366,New_Holland_Honeyeater,20.9,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,6,1,TRUE,TRUE,generalist
before.afterBefore,0.06617632769450761,0.17999183793526757,0.3676629365733091,0.7131245800126772,0.28843074333823243,8770,TRUE,Noisy_Friarbird,Noisy Friarbird,1.6886999607086182,Noisy_Friarbird,100,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,4,5,3,FALSE,TRUE,generalist
before.afterBefore,-0.22315834705461315,0.20569859997173895,-1.0848802426719142,0.2779746996277529,0.28359631655712814,8770,TRUE,Noisy_Miner,Noisy Miner,1.0333000421524048,Noisy_Miner,71.3,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,4,7,1,TRUE,TRUE,generalist
before.afterBefore,0.8752610909069369,0.3148556174173483,2.779880816757855,0.005437885229322625,0.22764812266104953,8770,TRUE,Olive-backed_Oriole,Olive-backed Oriole,2.354550004005432,Olive-backed_Oriole,97.2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,4,2,FALSE,TRUE,generalist
before.afterBefore,-0.15813109050010957,0.11054073404345484,-1.430523253427523,0.1525668967561559,0.1239098316362025,8770,TRUE,Pied_Currawong,Pied Currawong,1.7509999871253967,Pied_Currawong,308,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,4,7,2,FALSE,TRUE,generalist
