Term,Estimate,Std. Error,z value,Pr(>|z|),deviance,N,converged,species,COMMON.NAME,median.sev,species_name,X99_Body_mass_average_8,X163_Food_Fruit_10,X164_Food_Nectar_or_pollen_10,X165_Food_Seeds_10,X166_Food_Foliage_or_herbs_10,X167_Food_Corms_or_tubers,X168_Food_Terrestrial_invertebrates_10,X169_Food_Terrestrial_vertebrates_10,X170_Food_Carrion_10,X171_Food_Intertidal_invertebrates_10,X172_Food_Fish_or_invertebrates_Marine_10,X173_Food_fish_or_invertebrates_Inland_waters_10,X115_Feeding_habitat_Terrestrial_Arid_shrubland_9,X116_Feeding_habitat_Terrestrial_Chenopod_shrubland_9,X117_Feeding_habitat_Terrestrial_Heath_9,X118_Feeding_habitat_Terrestrial_Triodia_hummock_grassland_9,X119_Feeding_habitat_Terrestrial_Other_grassland_9,X120_Feeding_habitat_Terrestrial_Mallee_9,X121_Feeding_habitat_Terrestrial_Tropical_savanna_woodland_9,X122_Feeding_habitat_Terrestrial_Temperate_dry_sclerophyll_forest_and_woodland_9,X123_Feeding_habitat_Terrestrial_Temperate_wet_sclerophyll_forest_and_woodland_9,X124_Feeding_habitat_Terrestrial_Rainforest_9,X125_Feeding_habitat_Terrestrial_Mangrove_trees_9,X126_Feeding_habitat_Inland_waters_Rivers_and_streams_9,X127_Feeding_habitat_Inland_waters_Deep_open_water_9,X128_Feeding_habitat_Inland_waters_Shallow_open_water_9,X129_Feeding_habitat_Inland_waters_Reeds_and_tall_wet_grassland_9,X130_Feeding_habitat_Inland_waters_Low_marshland_and_wet_grassland_9,X131_Feeding_habitat_Coastal_Sandy_9,X132_Feeding_habitat_Coastal_Rocky_9,X133_Feeding_habitat_Coastal_Soft_mud_9,X134_Feeding_habitat_Coastal_Saltmarsh_9,X135_Feeding_habitat_Coastal_Mangrove_floor_9,X136_Feeding_habitat_Marine_Very_cold_pelagic_9,X137_Feeding_habitat_Marine_Cold_pelagic_9,X138_Feeding_habitat_Marine_Temperate_pelagic_9,X139_Feeding_habitat_Marine_Warm_pelagic_9,X140_Feeding_habitat_Marine_Cold_inshore_9,X141_Feeding_habitat_Marine_Temperate_inshore_9,X142_Feeding_habitat_Marine_Warm_inshore_9,X143_Feeding_habitat_Other_non.Australian_habitat_9,X144_Feeding_habitat_Agricultural_landscapes_9,X145_Feeding_habitat_Urban_landscapes_9,X193_National_movement_local_dispersal_13,X194_National_movement_Partial_migrant_13,X195_National_movement_Total_migrant_13,X196_National_movement_Nomadic_or_opportunistic_13,X197_National_movement_Irruptive_13,foodspec,habitatspec,feeding_specialisation
before.afterBefore,-0.27962436357536147,0.1829072325518847,-1.528776963459011,0.12631974510091615,0.05266355393053045,8770,TRUE,Gang-gang_Cockatoo,Gang-gang Cockatoo,1.1556999683380127,Gang-gang_Cockatoo,257,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,4,specialist
before.afterBefore,0.003964302535932514,0.1199703741540632,0.0330440124396182,0.9736394899379082,0.06436090953031046,8771,TRUE,Golden_Whistler,Golden Whistler,2.048550009727478,Golden_Whistler,38.5,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,9,generalist
before.afterBefore,-0.2711278724588111,0.1358262675981667,-1.9961372513078655,0.04591898526051233,0.04554407100965616,8770,TRUE,Gray_Butcherbird,Gray Butcherbird,1.5499000549316406,Gray_Butcherbird,90.8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,7,generalist
before.afterBefore,0.23050004458054865,0.10601782471152359,2.174163120284192,0.029692886973655887,0.07817366424109086,8772,TRUE,Gray_Fantail,Gray Fantail,1.9537999629974365,Gray_Fantail,7.8,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,11,specialist
before.afterBefore,-0.05828988707796467,0.11144133814813804,-0.5230544432307552,0.6009363669904497,0.05393404894087031,8770,TRUE,Gray_Shrikethrush,Gray Shrikethrush,2.448449969291687,Gray_Shrikethrush,67.5,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,4,10,generalist
before.afterBefore,-0.8712559269235247,0.1389658093560793,-6.269570414194908,3.620455464713279e-10,0.030940317834077684,8771,TRUE,Great_Cormorant,Great Cormorant,2.599600076675415,Great_Cormorant,2540,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,2,7,generalist
before.afterBefore,-0.4276387027822773,0.17984106132083458,-2.377870212961957,0.017412953597147108,0.03287324696209338,8770,TRUE,Jacky-winter,Jacky-winter,1.5499000549316406,Jacky-winter,14.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,5,specialist
before.afterBefore,-0.05507406310402873,0.11323443994306295,-0.4863720183693346,0.6267034260239046,0.062240282667877525,8770,TRUE,Laughing_Kookaburra,Laughing Kookaburra,1.7376999855041504,Laughing_Kookaburra,312,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,7,generalist
before.afterBefore,-0.2307482998497858,0.20584371329488643,-1.120987841485456,0.26229303785286806,0.13584780266784985,8770,TRUE,Leaden_Flycatcher,Leaden Flycatcher,1.2748500108718872,Leaden_Flycatcher,13.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,7,specialist
before.afterBefore,0.17760587437008088,0.11838854001006525,1.500194819152099,0.1335639448946418,0.04291062943591068,8770,TRUE,Lewin's_Honeyeater,Lewin's Honeyeater,1.7769999504089355,Lewin's_Honeyeater,33.3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,7,generalist
