,Term,Estimate,Std. Error,z value,Pr(>|z|),deviance,N,converged,species,WB,Family
92,before.afterBefore,0.848382688,0.304801808,2.783391256,0.005379389,0.143826973,8770,TRUE,Olive-backed_Oriole,0,
95,(Intercept),0.084448281,0.101657058,0.830717341,0.406133328,0.035780715,8770,TRUE,Pied_Currawong,0,
96,before.afterBefore,-0.244309627,0.10459981,-2.335660333,0.019508951,0.035780715,8770,TRUE,Pied_Currawong,0,
97,(Intercept),-0.94866441,0.114150517,-8.31064486,9.52E-17,0.033650955,8770,TRUE,Rainbow_Lorikeet,0,
98,before.afterBefore,-0.222018234,0.117649011,-1.887123669,0.059143694,0.033650955,8770,TRUE,Rainbow_Lorikeet,0,
99,(Intercept),-1.601752071,0.128996674,-12.41700289,2.11E-35,0.054220167,8770,TRUE,Red-browed_Firetail,0,
100,before.afterBefore,0.10931392,0.132074678,0.827667508,0.407858825,0.054220167,8770,TRUE,Red-browed_Firetail,0,
101,(Intercept),-0.696324559,0.109993926,-6.330572811,2.44E-10,0.028167181,8770,TRUE,Red_Wattlebird,0,
102,before.afterBefore,0.021653952,0.113149543,0.191374626,0.848232098,0.028167181,8770,TRUE,Red_Wattlebird,0,
103,(Intercept),-2.871908261,0.212733564,-13.50002419,1.56E-41,0.063194669,8770,TRUE,Rose_Robin,0,
104,before.afterBefore,0.198581796,0.216537856,0.917076579,0.359102513,0.063194669,8770,TRUE,Rose_Robin,0,
105,(Intercept),-3.306504868,0.187604321,-17.62488652,1.59E-69,0.166735844,8770,TRUE,Rufous_Fantail,0,
106,before.afterBefore,0.575516646,0.183338325,3.139096227,0.001694698,0.166735844,8770,TRUE,Rufous_Fantail,0,
107,(Intercept),-1.725631976,0.134427849,-12.83686371,1.02E-37,0.163109981,8770,TRUE,Rufous_Whistler,0,
108,before.afterBefore,0.226610869,0.135124126,1.677057051,0.093531326,0.163109981,8770,TRUE,Rufous_Whistler,0,
109,(Intercept),-3.240780637,0.212281275,-15.26644609,1.28E-52,0.180278992,8770,TRUE,Sacred_Kingfisher,0,
110,before.afterBefore,0.096226946,0.193647802,0.496917314,0.619247361,0.180278992,8770,TRUE,Sacred_Kingfisher,0,
111,(Intercept),-1.069704759,0.117747673,-9.084720997,1.04E-19,0.038002575,8770,TRUE,Satin_Bowerbird,0,
112,before.afterBefore,-0.208347209,0.121372594,-1.716591879,0.086053767,0.038002575,8770,TRUE,Satin_Bowerbird,0,
113,(Intercept),-2.783622566,0.224525121,-12.39782236,2.69E-35,0.050449445,8770,TRUE,Scarlet_Myzomela,0,
114,before.afterBefore,0.487719736,0.228617927,2.13333986,0.032896857,0.050449445,8770,TRUE,Scarlet_Myzomela,0,
115,(Intercept),-3.570208364,0.287313823,-12.42616291,1.88E-35,0.026537819,8770,TRUE,Scarlet_Robin,0,
116,before.afterBefore,0.82832075,0.291017122,2.846295585,0.004423112,0.026537819,8770,TRUE,Scarlet_Robin,0,
117,(Intercept),-3.402834867,0.331459546,-10.2662147,1.00E-24,0.12163049,8770,TRUE,Shining_Bronze-Cuckoo,0,
118,before.afterBefore,0.152296387,0.33823808,0.450263871,0.652520186,0.12163049,8770,TRUE,Shining_Bronze-Cuckoo,0,
121,(Intercept),-1.65254349,0.134120124,-12.32136866,6.95E-35,0.047028608,8770,TRUE,Silvereye,0,
122,before.afterBefore,0.473901387,0.136883597,3.462075796,0.000536026,0.047028608,8770,TRUE,Silvereye,0,
123,(Intercept),-1.257744797,0.131162205,-9.589231847,8.87E-22,0.04967536,8770,TRUE,Spotted_Pardalote,0,
124,before.afterBefore,0.542319821,0.134057221,4.045435361,5.22E-05,0.04967536,8770,TRUE,Spotted_Pardalote,0,
125,(Intercept),-2.261459551,0.18848474,-11.99810422,3.64E-33,0.047927766,8770,TRUE,Striated_Pardalote,0,
126,before.afterBefore,0.395099291,0.192700361,2.050329796,0.040332259,0.047927766,8770,TRUE,Striated_Pardalote,0,
127,(Intercept),-0.997986638,0.113706415,-8.776871873,1.68E-18,0.032545923,8770,TRUE,Striated_Thornbill,0,
128,before.afterBefore,-0.427526238,0.117640671,-3.634170334,0.000278877,0.032545923,8770,TRUE,Striated_Thornbill,0,
129,(Intercept),-0.852310138,0.119164689,-7.15237161,8.53E-13,0.046970636,8770,TRUE,Sulphur-crested_Cockatoo,0,
130,before.afterBefore,-0.785215614,0.12477283,-6.293161871,3.11E-10,0.046970636,8770,TRUE,Sulphur-crested_Cockatoo,0,
131,(Intercept),-0.543405029,0.104772115,-5.186542535,2.14E-07,0.03865438,8770,TRUE,Superb_Fairywren,0,
132,before.afterBefore,0.259413696,0.10755641,2.411885042,0.015870285,0.03865438,8770,TRUE,Superb_Fairywren,0,
133,(Intercept),-1.704643974,0.136795197,-12.46128523,1.21E-35,0.03890862,8770,TRUE,Superb_Lyrebird,0,
134,before.afterBefore,0.168341912,0.140054409,1.201975098,0.229373176,0.03890862,8770,TRUE,Superb_Lyrebird,0,
135,(Intercept),-2.557132497,0.239276225,-10.68694766,1.17E-26,0.055995191,8770,TRUE,Torresian_Crow,0,
136,before.afterBefore,-0.443241583,0.250360645,-1.770412371,0.07665847,0.055995191,8770,TRUE,Torresian_Crow,0,
137,(Intercept),-3.369390789,0.264316186,-12.74757644,3.22E-37,0.066064905,8770,TRUE,Tree_Martin,0,
138,before.afterBefore,0.308346969,0.268339044,1.149094686,0.250516939,0.066064905,8770,TRUE,Tree_Martin,0,
139,(Intercept),-2.574344296,0.216751604,-11.87693306,1.56E-32,0.062610646,8770,TRUE,Variegated_Fairywren,0,
140,before.afterBefore,-0.401668005,0.224721927,-1.787400149,0.073872838,0.062610646,8770,TRUE,Variegated_Fairywren,0,
141,(Intercept),-2.761251733,0.210525436,-13.11600055,2.67E-39,0.03819017,8770,TRUE,Wedge-tailed_Eagle,0,
142,before.afterBefore,0.140603889,0.215378214,0.652823173,0.513870282,0.03819017,8770,TRUE,Wedge-tailed_Eagle,0,
143,(Intercept),-0.83572506,0.112670329,-7.417436944,1.19E-13,0.029427073,8770,TRUE,Welcome_Swallow,0,
144,before.afterBefore,-0.086263144,0.116052442,-0.743311749,0.45729296,0.029427073,8770,TRUE,Welcome_Swallow,0,
145,(Intercept),-2.439459519,0.192902384,-12.64608277,1.18E-36,0.038054379,8770,TRUE,Whistling_Kite,0,
146,before.afterBefore,-0.184757308,0.198976195,-0.928539758,0.353127654,0.038054379,8770,TRUE,Whistling_Kite,0,
147,(Intercept),-3.363458685,0.253330483,-13.27695999,3.15E-40,0.070062228,8770,TRUE,White-bellied_Sea-Eagle,0,
148,before.afterBefore,0.256886039,0.257041763,0.999394172,0.317603782,0.070062228,8770,TRUE,White-bellied_Sea-Eagle,0,
149,(Intercept),-0.886094635,0.114610631,-7.731347659,1.06E-14,0.06398044,8771,TRUE,White-browed_Scrubwren,0,
150,before.afterBefore,0.183406415,0.117622515,1.559279835,0.118930162,0.06398044,8771,TRUE,White-browed_Scrubwren,0,
151,(Intercept),-3.573640533,0.289826328,-12.33028262,6.22E-35,0.042437052,8770,TRUE,White-cheeked_Honeyeater,0,
152,before.afterBefore,0.525032623,0.294067134,1.785417552,0.074193614,0.042437052,8770,TRUE,White-cheeked_Honeyeater,0,
153,(Intercept),-1.598555742,0.137009332,-11.66749535,1.87E-31,0.025086544,8770,TRUE,White-eared_Honeyeater,0,
154,before.afterBefore,-0.237289138,0.14152316,-1.676680606,0.093604955,0.025086544,8770,TRUE,White-eared_Honeyeater,0,
157,(Intercept),-1.75939554,0.145492394,-12.09269773,1.15E-33,0.048887756,8770,TRUE,White-naped_Honeyeater,0,
158,before.afterBefore,0.431110896,0.148577647,2.901586516,0.003712782,0.048887756,8770,TRUE,White-naped_Honeyeater,0,
159,(Intercept),-0.407919814,0.103013384,-3.95987198,7.50E-05,0.052318633,8772,TRUE,White-throated_Treecreeper,0,
160,before.afterBefore,0.214488923,0.105872924,2.025909135,0.042774097,0.052318633,8772,TRUE,White-throated_Treecreeper,0,
161,(Intercept),-1.087285731,0.116810073,-9.308150401,1.30E-20,0.025394457,8770,TRUE,Willie-wagtail,0,
162,before.afterBefore,-0.195427271,0.120401833,-1.623125386,0.104562604,0.025394457,8770,TRUE,Willie-wagtail,0,
163,(Intercept),-1.80356745,0.143169608,-12.59741839,2.18E-36,0.048656971,8770,TRUE,Wonga_Pigeon,0,
164,before.afterBefore,0.007544664,0.146758095,0.051408847,0.958999735,0.048656971,8770,TRUE,Wonga_Pigeon,0,
165,(Intercept),-0.746741525,0.115623334,-6.458398155,1.06E-10,0.051661302,8770,TRUE,Yellow-faced_Honeyeater,0,
166,before.afterBefore,0.668847144,0.11824808,5.656304486,1.55E-08,0.051661302,8770,TRUE,Yellow-faced_Honeyeater,0,
167,(Intercept),-2.83137414,0.219836538,-12.87945198,5.88E-38,0.038447632,8770,TRUE,Yellow-rumped_Thornbill,0,
168,before.afterBefore,-0.133534921,0.22629784,-0.590084822,0.555133784,0.038447632,8770,TRUE,Yellow-rumped_Thornbill,0,
169,(Intercept),-1.616759162,0.128081938,-12.62285054,1.58E-36,0.048297561,8770,TRUE,Yellow-tailed_Black-Cockatoo,0,
170,before.afterBefore,-0.365430514,0.131776887,-2.773100224,0.005552502,0.048297561,8770,TRUE,Yellow-tailed_Black-Cockatoo,0,
