"","Term","Estimate","Std. Error","z value","Pr(>|z|)","deviance","N","converged","species"
"107","(Intercept)",-6.5634587868466,1.33903872829937,-4.90161983229747,9.50496416508431e-07,0.267867473121416,8770,TRUE,"Rufous_Whistler"
"108","before.afterBefore",0.164631463256952,0.14293772759428,1.15177053691695,0.249415378023086,0.267867473121416,8770,TRUE,"Rufous_Whistler"
"109","(Intercept)",-3.54125963757286,0.277804664158062,-12.7473008716585,3.22726690847211e-37,0.259774679035743,8770,TRUE,"Sacred_Kingfisher"
"110","before.afterBefore",-0.0156813133655544,0.204138819942209,-0.0768169100320737,0.938769198226946,0.259774679035743,8770,TRUE,"Sacred_Kingfisher"
"111","(Intercept)",-2.54925738810917,0.319957430157724,-7.96748925896956,1.61930529360102e-15,0.139272224778775,8770,TRUE,"Satin_Bowerbird"
"112","before.afterBefore",-0.107322292289383,0.126991656856603,-0.845112938486735,0.398047785028637,0.139272224778775,8770,TRUE,"Satin_Bowerbird"
"113","(Intercept)",-8.41392042370183,1.22780142021093,-6.85283490082326,7.24006295659318e-12,0.242748169222819,8770,TRUE,"Scarlet_Myzomela"
"114","before.afterBefore",0.682327043363243,0.24327402284016,2.80476737876594,0.00503529052287037,0.242748169222819,8770,TRUE,"Scarlet_Myzomela"
"115","(Intercept)",-10.3795613957471,3.62039352481632,-2.86697048942315,0.00414421654024472,0.272302535130981,8770,TRUE,"Scarlet_Robin"
"116","before.afterBefore",0.492261855479282,0.310042702324898,1.58772276137445,0.112349043758218,0.272302535130981,8770,TRUE,"Scarlet_Robin"
"117","(Intercept)",-3.48322130693734,0.338217661864798,-10.2987563917633,7.1378064817347e-25,0.171663536678571,8770,TRUE,"Shining_Bronze-Cuckoo"
"118","before.afterBefore",0.0399660830627806,0.344625882508286,0.115969476151635,0.907676733039172,0.171663536678571,8770,TRUE,"Shining_Bronze-Cuckoo"
"119","(Intercept)",-13.9412120018426,1.26537372877549,-11.0174659745257,3.14796447941926e-28,0.425719795635747,8770,TRUE,"Silver_Gull"
"120","before.afterBefore",-0.401555074029903,0.190275052023353,-2.11039266451295,0.0348245477901517,0.425719795635747,8770,TRUE,"Silver_Gull"
"121","(Intercept)",-1.65789022367928,0.135492649513642,-12.2360159730462,1.99591684910777e-34,0.0657597632966196,8770,TRUE,"Silvereye"
"122","before.afterBefore",0.454079946434261,0.138307450057899,3.28311993492882,0.00102664977096047,0.0657597632966196,8770,TRUE,"Silvereye"
"123","(Intercept)",-1.18931640317111,0.136165778964035,-8.73432673186732,2.45111664959438e-18,0.116805994571442,8770,TRUE,"Spotted_Pardalote"
"124","before.afterBefore",0.395252811737762,0.139312475741453,2.83716737954829,0.00455157440699662,0.116805994571442,8770,TRUE,"Spotted_Pardalote"
"125","(Intercept)",-2.48667739595877,0.208577712032408,-11.9220667046746,9.08270954728456e-33,0.252959893175186,8770,TRUE,"Striated_Pardalote"
"126","before.afterBefore",0.0513504087625894,0.211645996601097,0.242624049531977,0.808296648965219,0.252959893175186,8770,TRUE,"Striated_Pardalote"
"127","(Intercept)",-0.950544884675121,0.122783177761504,-7.74165404418406,9.81317054760955e-15,0.0851657996473442,8770,TRUE,"Striated_Thornbill"
"128","before.afterBefore",-0.596497227108202,0.127455787600527,-4.68003249077828,2.86829457721838e-06,0.0851657996473442,8770,TRUE,"Striated_Thornbill"
